Customer,Finder
Hello,
,Hello! Welcome from the Finder GPS Tracking Team! You can call us at 09606346337 or provide us with your number so that we can call you.
,Offer
For bike monthly charge?,
,400 for one year data back up and 300 for one week
Only 400tk. One year charge. It sounds good.,
Insha Allah I will install funder on my bike,
,400 tk per month sir
,Data backup for 1 year
Oh ok,
,300 taka per month for 1 wk data backup
Ok,
,
,Offer
Ei offer er jonno kobe purchase korte hobe ?,
,10-13 er moddhe
Garir jonno jeta 7400 sheta ekhon 5000 ?,
,"ji sir, for this period only"
Okay thanks for the information,
,
apnader ei device ta bike a install korte koto lage? monthly ki kono charge ache?,
,"ফাইন্ডার ২০০৯ থেকেই ট্র্যাকিং সেবা দিয়ে আসছে। আমাদের এই ডিভাইস আপনারা গাড়ি, মোটর সাইকেল, মাইক্রোবাস, বাস, ট্রাক এমনকি সিএনজিতেও ব্যবহার করতে পারবেন। ডিভাইসের মাধ্যমে আপনি কম্পিউটার বা মোবাইল দিয়ে দেখতে পারবেন গাড়ির অবস্থান, গতি, সারাদিনের গতিপথ। এমনকি নিজেই বাসা থেকে বন্ধ করে দিতে পারবেন গাড়ির ইঞ্জিন। আমাদের রেগুলার প্রাইস গাড়ির জন্য ৭০০০ টাকা এবং মাসিক সার্ভিস চার্জঃ ৫০০ টাকা। সি এন জি অটোরিক্সা বা বাইকের জন্য ডিভাইস ৬৫০০ এবং সার্ভিস চার্জ ৪০০ টাকা। ডিস্কাউন্ট বা বিস্তারিত তথ্যের জন্য যোগাযোগ করুন: 09606 346 337, 01819 346 337, 01841 346 337.অফিসঃ ২৬-২৭, রিং রোড, আদাবর, ঢাকা। অথবা আপনার ফোন নাম্বার দিন যাতে আমরা যোগাযোগ করতে পারি।"
apnara ki basay ase install koren,
,Hello! Welcome from the Finder GPS Tracking Team! You can call us at 09606346337 or provide us with your number so that we can call you.
vai apnader ki jessore e kono agent dewa ache?,
,Ji ase
ok,
"price kemon garir jonno, and apnader akta offer dekhlam 10-13 august er details ta bolben kindly",
